ID,itax base,Wages,depx,mstat,otheritem,mortgage,itax repeal,itax salt
1,-451.884695,10000,0,1,0,0,-443.97338,-451.884695
2,750.3,20000,0,1,0,0,904.767,750.3
3,3101.9702,40000,0,1,0,0,3866.139,3101.9702
4,6221.9882,60000,0,1,0,0,7774.358,6221.9882
5,10621.9882,80000,0,1,0,0,12774.358,10621.9882
6,15053.7108,100000,0,1,0,0,17774.358,15053.7108
7,40932.1012,200000,0,1,0,0,45542.3671,40932.1012
8,145308.6913,500000,0,1,0,0,148824.2962,145308.6913
9,329644.5849,1000000,0,1,0,0,346824.2962,329644.5849
10,1809644.585,5000000,0,1,0,0,1930824.296,1809644.585
11,-451.884695,10000,0,1,2000,0,-443.97338,-451.884695
12,750.3,20000,0,1,2000,0,904.767,750.3
13,3101.9702,40000,0,1,2000,0,3866.139,3101.9702
14,6221.9882,60000,0,1,2000,0,7774.358,6221.9882
15,10621.9882,80000,0,1,2000,0,12774.358,10621.9882
16,15053.7108,100000,0,1,2000,0,17774.358,15053.7108
17,40932.1012,200000,0,1,2000,0,45542.3671,40932.1012
18,145308.6913,500000,0,1,2000,0,148824.2962,145308.6913
19,329644.5849,1000000,0,1,2000,0,346824.2962,329644.5849
20,1809644.585,5000000,0,1,2000,0,1930824.296,1809644.585
21,-451.884695,10000,0,1,5000,0,-443.97338,-451.884695
22,750.3,20000,0,1,5000,0,904.767,750.3
23,3101.9702,40000,0,1,5000,0,3866.139,3101.9702
24,6221.9882,60000,0,1,5000,0,7774.358,6221.9882
25,10621.9882,80000,0,1,5000,0,12774.358,10621.9882
26,15053.7108,100000,0,1,5000,0,17774.358,15053.7108
27,40932.1012,200000,0,1,5000,0,45542.3671,40932.1012
28,145308.6913,500000,0,1,5000,0,148824.2962,145308.6913
29,329644.5849,1000000,0,1,5000,0,346824.2962,329644.5849
30,1809644.585,5000000,0,1,5000,0,1930824.296,1809644.585
31,-451.884695,10000,0,1,10000,0,-443.97338,-451.884695
32,750.3,20000,0,1,10000,0,573.491,750.3
33,3101.9702,40000,0,1,10000,0,3369.225,3101.9702
34,6221.9882,60000,0,1,10000,0,6946.168,6221.9882
35,10621.9882,80000,0,1,10000,0,11946.168,10621.9882
36,15053.7108,100000,0,1,10000,0,16946.168,15053.7108
37,40932.1012,200000,0,1,10000,0,44614.7943,40932.1012
38,145308.6913,500000,0,1,10000,0,148824.2962,145308.6913
39,329644.5849,1000000,0,1,10000,0,346824.2962,329644.5849
40,1809644.585,5000000,0,1,10000,0,1930824.296,1809644.585
41,-451.884695,10000,0,1,20000,0,-443.97338,-451.884695
42,750.3,20000,0,1,20000,0,0,0
43,3101.9702,40000,0,1,20000,0,1869.225,2201.6102
44,6221.9882,60000,0,1,20000,0,4869.225,4601.6102
45,10621.9882,80000,0,1,20000,0,9446.168,8971.3282
46,15053.7108,100000,0,1,20000,0,14446.168,13371.3282
47,40932.1012,200000,0,1,20000,0,41870.04445,38531.1412
48,145308.6913,500000,0,1,20000,0,146220.8345,142682.6413
49,329644.5849,1000000,0,1,20000,0,346824.2962,326868.4749
50,1809644.585,5000000,0,1,20000,0,1930824.296,1806868.475
51,-451.884695,10000,0,1,30000,0,-443.97338,-451.884695
52,750.3,20000,0,1,30000,0,0,0
53,3101.9702,40000,0,1,30000,0,573.491,1001.6102
54,6221.9882,60000,0,1,30000,0,3369.225,3401.6102
55,10621.9882,80000,0,1,30000,0,6946.168,6771.3282
56,15053.7108,100000,0,1,30000,0,11946.168,11171.3282
57,40932.1012,200000,0,1,30000,0,41870.04445,35331.1412
58,145308.6913,500000,0,1,30000,0,142260.8345,139182.6413
59,329644.5849,1000000,0,1,30000,0,346200.8345,323168.4749
60,1809644.585,5000000,0,1,30000,0,1930824.296,1803168.475
61,-451.884695,10000,0,1,50000,0,-443.97338,-451.884695
62,750.3,20000,0,1,50000,0,0,0
63,3101.9702,40000,0,1,50000,0,0,0
64,6221.9882,60000,0,1,50000,0,732.2094,1001.6102
65,10621.9882,80000,0,1,50000,0,5932.2094,3401.6102
66,15053.7108,100000,0,1,50000,0,11132.2094,6964.9866
67,40932.1012,200000,0,1,50000,0,41870.04445,32964.9866
68,145308.6913,500000,0,1,50000,0,136044.5234,132182.6413
69,329644.5849,1000000,0,1,50000,0,338280.8345,315768.4749
70,1809644.585,5000000,0,1,50000,0,1929512.443,1795768.475
71,-451.884695,10000,0,1,100000,0,-443.97338,-451.884695
72,750.3,20000,0,1,100000,0,0,0
73,3101.9702,40000,0,1,100000,0,0,0
74,6221.9882,60000,0,1,100000,0,732.2094,0
75,10621.9882,80000,0,1,100000,0,5932.2094,1764.9866
76,15053.7108,100000,0,1,100000,0,11132.2094,6964.9866
77,40932.1012,200000,0,1,100000,0,41870.04445,32964.9866
78,145308.6913,500000,0,1,100000,0,136044.5234,115520.4604
79,329644.5849,1000000,0,1,100000,0,318480.8345,297268.4749
80,1809644.585,5000000,0,1,100000,0,1925552.443,1777268.475
81,-451.884695,10000,0,1,0,2000,-443.97338,-451.884695
82,750.3,20000,0,1,0,2000,904.767,750.3
83,3101.9702,40000,0,1,0,2000,3866.139,3101.9702
84,6221.9882,60000,0,1,0,2000,7774.358,6221.9882
85,10621.9882,80000,0,1,0,2000,12774.358,10621.9882
86,15053.7108,100000,0,1,0,2000,17774.358,15053.7108
87,40932.1012,200000,0,1,0,2000,45542.3671,40932.1012
88,145308.6913,500000,0,1,0,2000,148824.2962,145308.6913
89,329644.5849,1000000,0,1,0,2000,346824.2962,329644.5849
90,1809644.585,5000000,0,1,0,2000,1930824.296,1809644.585
91,-451.884695,10000,0,1,2000,2000,-443.97338,-451.884695
92,750.3,20000,0,1,2000,2000,904.767,750.3
93,3101.9702,40000,0,1,2000,2000,3866.139,3101.9702
94,6221.9882,60000,0,1,2000,2000,7774.358,6221.9882
95,10621.9882,80000,0,1,2000,2000,12774.358,10621.9882
96,15053.7108,100000,0,1,2000,2000,17774.358,15053.7108
97,40932.1012,200000,0,1,2000,2000,45542.3671,40932.1012
98,145308.6913,500000,0,1,2000,2000,148824.2962,145308.6913
99,329644.5849,1000000,0,1,2000,2000,346824.2962,329644.5849
100,1809644.585,5000000,0,1,2000,2000,1930824.296,1809644.585
101,-451.884695,10000,0,1,5000,2000,-443.97338,-451.884695
102,750.3,20000,0,1,5000,2000,873.491,750.3
103,3101.9702,40000,0,1,5000,2000,3819.225,3101.9702
104,6221.9882,60000,0,1,5000,2000,7696.168,6221.9882
105,10621.9882,80000,0,1,5000,2000,12696.168,10621.9882
106,15053.7108,100000,0,1,5000,2000,17696.168,15053.7108
107,40932.1012,200000,0,1,5000,2000,45454.7943,40932.1012
108,145308.6913,500000,0,1,5000,2000,148824.2962,145308.6913
